"","input","filtered","denoisedF","denoisedR","merged","nonchim","total.loss.proportion"
"2554",5000,2143,2130,2139,2024,2024,0.5952
"2555",5000,2245,2245,2245,2120,2120,0.576
"2557",5000,2056,2021,2055,1865,1865,0.627
"2558",7551,4348,4097,4108,3724,3267,0.567342073897497
"2559",7568,4269,4017,3992,3679,3577,0.52735200845666
"2560",5000,1930,1886,1906,1676,1293,0.7414
"2562",7559,4336,4062,4067,3734,3478,0.539886228337082
"2565",7545,4205,3864,3881,3521,3215,0.573889993373095
"2566",7492,4385,4107,4119,3791,3383,0.548451681793913
"2568",5000,1830,1792,1797,1770,1571,0.6858
"2586",5000,1988,1960,1953,1931,1587,0.6826
"2587",4999,1949,1896,1891,1663,1558,0.688337667533507
"2588",5000,1846,1807,1798,1777,1445,0.711
"2589",5000,1853,1804,1812,1794,1486,0.7028
"2590",7529,4113,3856,3848,3529,3318,0.559304024438837
"2591",7517,4318,4009,4048,3679,3447,0.54143940401756
"2592",7502,4439,4168,4176,3845,3604,0.51959477472674
"2593",7535,4190,3928,3908,3607,3418,0.546383543463835
"2594",7512,4474,4192,4208,3885,3762,0.499201277955272
"2597",5000,1848,1825,1815,1806,1729,0.6542
"2598",5000,1703,1679,1672,1671,1526,0.6948
"2599",5000,1710,1659,1668,1639,1181,0.7638
"2600",5000,1836,1793,1790,1779,1603,0.6794
"2601",4999,1867,1808,1780,1765,1603,0.679335867173435
"2605",7533,4301,4041,4019,3704,3334,0.557414044869242
"2609",5000,1815,1764,1755,1735,1596,0.6808
"2616",7510,4424,4173,4144,3826,3570,0.524633821571238
"2617",7544,4255,3978,3981,3661,3402,0.549045599151644
"2628",7561,4159,3878,3886,3559,3466,0.541595027112816
"2630",7555,4254,3971,3981,3656,3332,0.558967571144937
"2637",5000,1774,1720,1717,1697,1553,0.6894
"2639",7530,4256,3976,3996,3654,3458,0.540770252324037
"2641",4999,1904,1869,1867,1851,1684,0.663132626525305
"2642",5000,1868,1838,1852,1837,1708,0.6584
"2643",7553,4262,3991,3983,3665,3472,0.540315106580167
"2644",5000,1784,1728,1742,1715,1466,0.7068
"2645",5000,1920,1862,1873,1841,1616,0.6768
"2646",5000,1641,1600,1604,1590,1555,0.689
"2647",5000,2064,2029,2030,2023,1804,0.6392
"2649",7557,4541,4292,4275,3970,3811,0.495699351594548
"2650",5000,1727,1689,1703,1664,1632,0.6736
"2652",7551,4539,4257,4268,3946,3715,0.508012183816713
"2653",5000,1819,1802,1796,1793,1428,0.7144
"2654",5000,1698,1634,1671,1614,1490,0.702
"2655",5000,1801,1745,1747,1723,1326,0.7348
"2681",7550,4312,4044,4035,3707,3472,0.540132450331126
